Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 5557593814516968960,104.7498583,-47.0233670,7.277,-0.029,0.000,0.0000,0.0000,29.57,29.57,0.53,6.584,A0.2,0.055635,-0.09,0.972,nan,Gaia DR3
Gaia DR3 5557612712373718656,104.6216648,-46.7726207,13.458,1.624,0.084,0.2656,1.5816,29.57,32.80,3.57,6.646,K5.6,0.000361,0.18,1.100,nan,Gaia DR3
Gaia DR3 5509278043777101184,105.4685322,-47.9469375,17.201,3.024,1.043,1.0435,3.7992,29.56,nan,nan,6.474,M4.2,nan,nan,1.010,nan,None
Gaia DR3 5508808071275846400,107.1401605,-48.0043760,12.929,1.393,0.932,1.8890,6.2892,29.42,29.47,6.41,6.426,K4.6,0.000628,0.11,0.958,nan,Gaia DR3
Gaia DR3 5508173137670240256,105.9251730,-49.2576445,16.536,2.858,4.966,2.3679,6.5738,29.58,nan,nan,6.676,M3.8,nan,0.86,1.033,nan,None
Gaia DR3 5508841090984180864,106.1988552,-48.0953203,14.505,2.350,0.246,1.4509,6.5790,29.51,-3.67,9.38,6.826,M2.5,0.000325,0.34,1.928,nan,Gaia DR3
Gaia DR3 5509846315193777792,108.1775500,-46.3584422,16.891,3.235,1.196,2.4431,6.7631,29.24,nan,nan,6.676,M4.7,nan,nan,1.249,nan,None
Gaia DR3 5558027228256933632,105.4098324,-46.2323721,16.510,3.058,0.255,0.9116,6.7943,29.47,nan,nan,6.872,M4.3,nan,nan,1.040,nan,None
Gaia DR3 5558581072879333632,102.7452039,-46.2508386,16.321,2.877,3.509,1.5783,7.1695,29.68,nan,nan,6.343,M3.8,nan,nan,1.019,nan,None
Gaia DR3 5558030801669729664,105.6530564,-46.0527603,15.776,2.734,0.619,1.1524,7.4067,29.44,nan,nan,6.892,M3.6,0.001678,nan,1.044,nan,None
Gaia DR3 5552542451940140288,101.2720037,-46.7929750,10.594,0.815,4.476,2.3869,7.9036,29.81,14.48,0.63,6.390,G1.5,0.006332,0.02,4.069,nan,Gaia DR3
Gaia DR3 5552566602539097984,102.1856979,-46.5004447,19.488,2.927,2.030,1.8326,7.9563,29.73,nan,nan,6.873,M4.0,nan,nan,1.066,nan,None
Gaia DR3 5505455346787590656,107.3514499,-49.6083621,12.010,1.145,3.419,3.1101,8.2800,29.47,5.19,0.49,6.559,K2.3,nan,0.05,1.347,nan,Gaia DR3
Gaia DR3 5508273983502423424,103.5868995,-49.7831848,14.986,2.161,2.086,2.8657,8.3726,29.77,25.83,3.96,6.443,M1.4,nan,-0.06,1.070,nan,Gaia DR3
Gaia DR3 5551301137671778048,101.4099128,-48.7927230,14.765,2.321,2.433,2.8531,8.9587,29.89,73.69,2.77,6.808,M2.4,nan,0.16,1.019,nan,Gaia DR3
Gaia DR3 5558500224415669632,106.5991682,-44.4426804,14.895,2.314,3.738,2.8853,9.0238,29.24,13.64,8.75,6.808,M2.3,nan,0.10,0.974,0.033,Gaia DR3
Gaia DR3 5510237706972009600,109.3892500,-47.4447866,11.862,1.102,4.061,3.1777,9.1103,29.19,16.62,0.42,6.446,K2.0,nan,0.03,0.833,nan,Gaia DR3
Gaia DR3 5551545332332375552,100.1486359,-48.5567988,17.708,3.172,1.089,3.4500,9.1935,29.96,nan,nan,6.639,M4.5,0.001503,nan,0.957,nan,None
Gaia DR3 5503232134277157760,101.2594666,-49.4303901,18.396,3.223,2.294,3.3460,9.6186,29.92,nan,nan,6.762,M4.7,nan,nan,0.969,nan,None
Gaia DR3 5558474970008117760,107.6437292,-44.1758894,13.367,1.627,3.075,3.4934,9.6829,29.12,65.07,1.43,6.723,K5.6,nan,0.07,0.961,nan,Gaia DR3
Gaia DR3 5508652726603033984,109.1833933,-48.1484143,20.094,2.727,1.518,3.1944,9.8242,29.25,nan,nan,6.384,M3.6,nan,nan,1.033,nan,None
